date,race,distance_km,time,official,course_notes,comments
2026-07-01,Tullner Rosenarcade Lauf,5.0,00:16:28,true,,Official race result; no special race-specific preparation
2026-01-25,2. VCM Winterlauf Wien,21.0975,01:16:40,true,Measured half-marathon race,Official net result; Strava replacement says 1:16:39 and recovered TCX records 20.716 km
